scenario_id,scenario_name,programme,source_unit_id,source_level,scenario_description,trigger_evidence,change_id,operation,entity_kind,affected_element_id,changed_property,before_json,after_json,driver
BI-T01,Trace data-architecture decisions to assessment criteria,Business Informatics,rtu_bi_de0745,Study Course,"Update the DE0745 constructive-alignment goal so assessed data-architecture decisions are explicitly linked to outcomes, artefacts and downstream reuse.","Review of the baseline model found that assessment percentages were explicit, but the architectural decisions evidenced by each task were not traceable.",BI-T01-C01,UPDATE,ELEMENT,e_rtu_bi_de0745_g_constructive,description,"{""description"": ""Ensure every intended course capability is developed through suitable activity and directly assessed using the official assessment architecture: Practical work 60%; semester tests 20%; exam 20%.""}","{""description"": ""Every assessed data-architecture decision must be linked to a stated course outcome, a named evidence artefact and the downstream enterprise-case activity that may reuse it.""}",Strengthen constructive alignment without changing the approved DE0745 workload or assessment weighting.
BI-T05,Require task-level outcome and evidence traceability,Business Informatics,rtu_bi_de0745,Study Course,"Update the DE0745 traceability rule so every summative task identifies the outcome, architectural decision and reusable evidence artefact it assesses.",Current mappings identify broad outcome coverage but do not identify the specific evidence produced by each task.,BI-T05-C01,UPDATE,ELEMENT,e_rtu_bi_de0745_rule_trace,description,"{""description"": ""Every curriculum outcome in DE0745 course curriculum must be connected to responsible curriculum components and direct assessment evidence before the model is approved.""}","{""description"": ""Each summative task must identify the outcome assessed, the data-architecture decision evidenced, the rubric criterion used and any downstream curriculum artefact that may reuse the evidence.""}",Make assessment traceability sufficiently precise for cross-course curriculum review.
BI-T07,Define the systems-theory prerequisite competence profile,Business Informatics,rtu_bi_de0752,Study Course,Replace the unspecified DE0752 prerequisite profile with an explicit set of systems reasoning competencies expected by downstream courses.,"The baseline states that there is no formal prerequisite, but programme review found that later courses assume modelling and systems-analysis competencies.",BI-T07-C01,UPDATE,ELEMENT,e_rtu_bi_de0752_concept_prereq,description,"{""description"": ""No formal prerequisite.""}","{""description"": ""Expected prerequisite competence includes systems thinking, causal modelling, feedback analysis and the ability to interpret formal and conceptual models; gaps must be diagnosed before dependent course work.""}",Make hidden prerequisite assumptions visible without introducing a new formal admission prerequisite.
BI-T09,Map enterprise-case evidence across course boundaries,Business Informatics,rtu_bi_de0751,Study Course,Update the DE0751 mapping process to record incoming artefacts from earlier courses and the programme outcomes evidenced by the final e-business project.,The baseline process maps local outcomes and assessments but does not record the lineage of evidence reused from sibling courses.,BI-T09-C01,UPDATE,ELEMENT,e_rtu_bi_de0751_proc_map,description,"{""description"": ""Map outcomes to curriculum components, learning activities, assessments and evidence; identify missing, weak or excessive coverage.""}","{""description"": ""Map DE0751 outcomes, activities and assessments to incoming data, architecture and process artefacts, record their provenance and identify the programme outcomes evidenced by the integrated project.""}",Create a complete longitudinal evidence map for the culminating e-business assessment.
BI-T11,Make the programme director accountable for cross-course impact closure,Business Informatics,rtu_fcsite_bi_msc,Study Program,Extend the Business Informatics programme-director role with explicit accountability for resolving cross-course impact notifications.,The baseline role owns the local programme model but does not explicitly require closure of unresolved sibling-course impacts.,BI-T11-C01,UPDATE,ELEMENT,e_rtu_fcsite_bi_msc_role_owner,description,"{""description"": ""Role accountable for maintaining the local curriculum model, evidence and justified changes for Business Informatics programme.""}","{""description"": ""The programme director maintains the programme model, assigns owners for cross-course impacts, verifies that notified courses respond and records the final programme-level decision and rationale.""}",Create clear accountability for completing cross-course curriculum-change reviews.
BI-T12,Identify prerequisite and hand-off impacts automatically,Business Informatics,rtu_bi_de0747,Study Course,"Extend the DE0747 impact-analysis requirement so the system identifies courses affected by changed prerequisites, shared concepts or enterprise-case artefacts.",The baseline functional requirement identifies affected units generally but does not specify dependency categories needed for curriculum propagation.,BI-T12-C01,UPDATE,ELEMENT,e_rtu_bi_de0747_fr_impact,description,"{""description"": ""Given a proposed change, identify affected parent, child and sibling curriculum units through outcome, prerequisite, assessment, workload and shared-concept links.""}","{""description"": ""Given a changed prerequisite, shared concept, outcome mapping, assessment artefact or sequence dependency, identify every affected parent and sibling unit and return the dependency path and evidence used.""}",Make prerequisite and cross-course impact identification reproducible rather than dependent on manual recall.
CS-T01,Validate mathematical prerequisites before expanding ML scope,Computer Systems,rtu_cs_de0937,Study Course,Update the DE0937 workload goal so new algorithms may be added only after prerequisite diagnostics and explicit workload trade-offs.,"The baseline lists mathematics, probability and statistics prerequisites, but does not require evidence that students possess them before advanced algorithm coverage expands.",CS-T01-C01,UPDATE,ELEMENT,e_rtu_cs_de0937_g_workload,description,"{""description"": ""Maintain 64 contact and 96 independent-work hours (160 total) and validate the prerequisite basis: Mathematics, probability theory and mathematical statistics.""}","{""description"": ""Preserve the approved 6 ECTS workload and add new algorithm families only when prerequisite diagnostics confirm mathematics, probability and statistics readiness and an equivalent content trade-off is recorded.""}",Protect prerequisite integrity and prevent tool-driven scope growth in Machine Learning Algorithms.
CS-T04,Require explicit trade-offs for language and tool additions,Computer Systems,rtu_cs_de0759,Study Course,"Update the DE0759 workload-conservation rule so every new language, framework or toolchain replaces equivalent assessed content.",The baseline preserves credits and hours but does not require a named removal when new technology-specific content is added.,CS-T04-C01,UPDATE,ELEMENT,e_rtu_cs_de0759_rule_workload,description,"{""description"": ""Curriculum changes in DE0759 course curriculum must preserve approved credit volume and must explicitly reallocate learning and assessment workload when scope is added or removed.""}","{""description"": ""Adding a programming language, framework or toolchain requires a documented removal or reduction of equivalent learning and assessment workload while preserving conceptual comparison outcomes.""}",Prevent language-specific scope growth from displacing stable object-oriented concepts.
CS-T05,Define the AI curriculum scope profile,Computer Systems,rtu_cs_de0478,Study Course,Refine the DE0478 scope concept to distinguish foundational AI reasoning from machine-learning algorithm depth and tool-specific implementation.,Programme review found overlap between Artificial Intelligence and Machine Learning Algorithms without a modelled boundary.,CS-T05-C01,UPDATE,ELEMENT,e_rtu_cs_de0478_concept_scope,description,"{""description"": ""Intelligent agents, search, knowledge representation, inference, planning, uncertainty, decision making and learning agents.""}","{""description"": ""The DE0478 scope profile identifies foundational search, knowledge representation, reasoning and intelligent-system integration, while advanced statistical learning algorithms and comparative model evaluation are assigned to DE0937.""}",Clarify assessment responsibility and reduce duplication between AI and machine learning.
CS-T07,Engineer a coherent software and AI progression map,Computer Systems,rtu_fcsite_cs_msc,Study Program,Update the Computer Systems portfolio process to model the progression from requirements through implementation and testing into AI and machine-learning applications.,The baseline process sequences courses generally but does not identify the common artefacts and evidence chain joining the software and AI pathways.,CS-T07-C01,UPDATE,ELEMENT,e_rtu_fcsite_cs_msc_proc_portfolio,description,"{""description"": ""Allocate outcome responsibility, sequence courses, test prerequisite feasibility and protect the thesis pathway.""}","{""description"": ""Allocate outcome responsibility, sequence requirements, implementation, testing, AI and machine-learning courses, identify common artefacts and verify prerequisite feasibility and thesis-path continuity.""}",Create an explicit progression map across software-engineering and intelligent-systems courses.
