scenario_id,target_unit_id,expected_impacted_element_ids_json,expected_model_operations_json
BI-T01,rtu_bi_de0740,"[""e_rtu_bi_de0740_g_constructive""]","[""UPDATE_GOAL""]"
BI-T01,rtu_bi_de0747,"[""e_rtu_bi_de0747_g_constructive""]","[""UPDATE_GOAL""]"
BI-T01,rtu_bi_de0751,"[""e_rtu_bi_de0751_g_constructive""]","[""UPDATE_GOAL""]"
BI-T01,rtu_bi_de0752,[],"[""NO_MODEL_CHANGE""]"
BI-T01,rtu_fcsite_bi_msc,"[""e_rtu_fcsite_bi_msc_g_assessment""]","[""UPDATE_GOAL""]"
BI-T05,rtu_bi_de0740,"[""e_rtu_bi_de0740_rule_trace""]","[""UPDATE_RULE""]"
BI-T05,rtu_bi_de0747,"[""e_rtu_bi_de0747_rule_trace""]","[""UPDATE_RULE""]"
BI-T05,rtu_bi_de0751,"[""e_rtu_bi_de0751_rule_trace""]","[""UPDATE_RULE""]"
BI-T05,rtu_bi_de0752,[],"[""NO_MODEL_CHANGE""]"
BI-T05,rtu_fcsite_bi_msc,"[""e_rtu_fcsite_bi_msc_rule_trace""]","[""UPDATE_RULE""]"
BI-T07,rtu_bi_de0740,"[""e_rtu_bi_de0740_concept_prereq""]","[""UPDATE_CONCEPT""]"
BI-T07,rtu_bi_de0745,[],"[""NO_MODEL_CHANGE""]"
BI-T07,rtu_bi_de0747,"[""e_rtu_bi_de0747_concept_prereq""]","[""UPDATE_CONCEPT""]"
BI-T07,rtu_bi_de0751,"[""e_rtu_bi_de0751_concept_prereq""]","[""UPDATE_CONCEPT""]"
BI-T07,rtu_fcsite_bi_msc,"[""e_rtu_fcsite_bi_msc_concept_portfolio""]","[""UPDATE_CONCEPT""]"
BI-T09,rtu_bi_de0740,"[""e_rtu_bi_de0740_proc_map""]","[""UPDATE_PROCESS""]"
BI-T09,rtu_bi_de0745,"[""e_rtu_bi_de0745_proc_map""]","[""UPDATE_PROCESS""]"
BI-T09,rtu_bi_de0747,"[""e_rtu_bi_de0747_proc_map""]","[""UPDATE_PROCESS""]"
BI-T09,rtu_bi_de0752,"[""e_rtu_bi_de0752_proc_map""]","[""UPDATE_PROCESS""]"
BI-T09,rtu_fcsite_bi_msc,"[""e_rtu_fcsite_bi_msc_proc_map""]","[""UPDATE_PROCESS""]"
BI-T11,rtu_fcsite,"[""e_rtu_fcsite_role_owner""]","[""UPDATE_ACTOR_RESOURCE""]"
BI-T11,rtu_fcsite_cs_msc,"[""e_rtu_fcsite_cs_msc_role_owner""]","[""UPDATE_ACTOR_RESOURCE""]"
BI-T12,rtu_bi_de0740,"[""e_rtu_bi_de0740_fr_impact""]","[""UPDATE_TECHNICAL_COMPONENT""]"
BI-T12,rtu_bi_de0745,"[""e_rtu_bi_de0745_fr_impact""]","[""UPDATE_TECHNICAL_COMPONENT""]"
BI-T12,rtu_bi_de0751,"[""e_rtu_bi_de0751_fr_impact""]","[""UPDATE_TECHNICAL_COMPONENT""]"
BI-T12,rtu_bi_de0752,"[""e_rtu_bi_de0752_fr_impact""]","[""UPDATE_TECHNICAL_COMPONENT""]"
BI-T12,rtu_fcsite_bi_msc,"[""e_rtu_fcsite_bi_msc_fr_impact""]","[""UPDATE_TECHNICAL_COMPONENT""]"
CS-T01,rtu_cs_de0478,"[""e_rtu_cs_de0478_g_workload""]","[""UPDATE_GOAL""]"
CS-T01,rtu_cs_de0759,[],"[""NO_MODEL_CHANGE""]"
CS-T01,rtu_cs_de0767,[],"[""NO_MODEL_CHANGE""]"
CS-T01,rtu_cs_de0773,"[""e_rtu_cs_de0773_g_workload""]","[""UPDATE_GOAL""]"
CS-T01,rtu_fcsite_cs_msc,"[""e_rtu_fcsite_cs_msc_g_sequence""]","[""UPDATE_GOAL""]"
CS-T04,rtu_cs_de0478,"[""e_rtu_cs_de0478_rule_workload""]","[""UPDATE_RULE""]"
CS-T04,rtu_cs_de0767,"[""e_rtu_cs_de0767_rule_workload""]","[""UPDATE_RULE""]"
CS-T04,rtu_cs_de0773,"[""e_rtu_cs_de0773_rule_workload""]","[""UPDATE_RULE""]"
CS-T04,rtu_cs_de0937,"[""e_rtu_cs_de0937_rule_workload""]","[""UPDATE_RULE""]"
CS-T04,rtu_fcsite_cs_msc,"[""e_rtu_fcsite_cs_msc_rule_workload""]","[""UPDATE_RULE""]"
CS-T05,rtu_cs_de0759,[],"[""NO_MODEL_CHANGE""]"
CS-T05,rtu_cs_de0767,"[""e_rtu_cs_de0767_concept_scope""]","[""UPDATE_CONCEPT""]"
CS-T05,rtu_cs_de0773,"[""e_rtu_cs_de0773_concept_scope""]","[""UPDATE_CONCEPT""]"
CS-T05,rtu_cs_de0937,"[""e_rtu_cs_de0937_concept_scope""]","[""UPDATE_CONCEPT""]"
CS-T05,rtu_fcsite_cs_msc,"[""e_rtu_fcsite_cs_msc_concept_portfolio""]","[""UPDATE_CONCEPT""]"
CS-T07,rtu_fcsite,"[""e_rtu_fcsite_proc_analyse""]","[""UPDATE_PROCESS""]"
CS-T07,rtu_fcsite_bi_msc,"[""e_rtu_fcsite_bi_msc_proc_portfolio""]","[""UPDATE_PROCESS""]"
CS-T10,rtu_cs_de0478,"[""e_rtu_cs_de0478_role_review""]","[""UPDATE_ACTOR_RESOURCE""]"
CS-T10,rtu_cs_de0759,[],"[""NO_MODEL_CHANGE""]"
CS-T10,rtu_cs_de0767,"[""e_rtu_cs_de0767_role_review""]","[""UPDATE_ACTOR_RESOURCE""]"
CS-T10,rtu_cs_de0773,"[""e_rtu_cs_de0773_role_review""]","[""UPDATE_ACTOR_RESOURCE""]"
CS-T10,rtu_fcsite_cs_msc,"[""e_rtu_fcsite_cs_msc_role_review""]","[""UPDATE_ACTOR_RESOURCE""]"
CS-T12,rtu_cs_de0478,"[""e_rtu_cs_de0478_nfr_audit""]","[""UPDATE_TECHNICAL_COMPONENT""]"
CS-T12,rtu_cs_de0767,"[""e_rtu_cs_de0767_nfr_audit""]","[""UPDATE_TECHNICAL_COMPONENT""]"
CS-T12,rtu_cs_de0773,"[""e_rtu_cs_de0773_nfr_audit""]","[""UPDATE_TECHNICAL_COMPONENT""]"
CS-T12,rtu_cs_de0937,"[""e_rtu_cs_de0937_nfr_audit""]","[""UPDATE_TECHNICAL_COMPONENT""]"
CS-T12,rtu_fcsite_cs_msc,"[""e_rtu_fcsite_cs_msc_nfr_audit""]","[""UPDATE_TECHNICAL_COMPONENT""]"
