scenario_id,target_unit_id,expected_impacted_element_ids_json,actual_impacted_element_ids_json,impacted_element_precision,impacted_element_recall,impacted_element_f1,impacted_element_exact_match,expected_model_operations_json,actual_model_operations_json,operation_precision,operation_recall,operation_f1,operation_exact_match,model_change_exact_match
BI-T01,rtu_bi_de0740,"[""e_rtu_bi_de0740_g_constructive""]",[],0.0,0.0,0.0,0,"[""UPDATE_GOAL""]","[""NO_MODEL_CHANGE""]",0.0,0.0,0.0,0,0
BI-T01,rtu_bi_de0747,"[""e_rtu_bi_de0747_g_constructive""]",[],0.0,0.0,0.0,0,"[""UPDATE_GOAL""]","[""NO_MODEL_CHANGE""]",0.0,0.0,0.0,0,0
BI-T01,rtu_bi_de0751,"[""e_rtu_bi_de0751_g_constructive""]","[""e_rtu_bi_de0751_g_constructive""]",1.0,1.0,1.0,1,"[""UPDATE_GOAL""]","[""UPDATE_GOAL""]",1.0,1.0,1.0,1,1
BI-T01,rtu_bi_de0752,[],"[""e_rtu_bi_de0752_g_constructive""]",0.0,0.0,0.0,0,"[""NO_MODEL_CHANGE""]","[""UPDATE_GOAL""]",0.0,0.0,0.0,0,0
BI-T01,rtu_fcsite_bi_msc,"[""e_rtu_fcsite_bi_msc_g_assessment""]","[""e_rtu_fcsite_bi_msc_g_assessment""]",1.0,1.0,1.0,1,"[""UPDATE_GOAL""]","[""UPDATE_GOAL""]",1.0,1.0,1.0,1,1
BI-T05,rtu_bi_de0740,"[""e_rtu_bi_de0740_rule_trace""]","[""e_rtu_bi_de0740_rule_trace""]",1.0,1.0,1.0,1,"[""UPDATE_RULE""]","[""UPDATE_RULE""]",1.0,1.0,1.0,1,1
BI-T05,rtu_bi_de0747,"[""e_rtu_bi_de0747_rule_trace""]","[""e_rtu_bi_de0747_rule_trace""]",1.0,1.0,1.0,1,"[""UPDATE_RULE""]","[""UPDATE_RULE""]",1.0,1.0,1.0,1,1
BI-T05,rtu_bi_de0751,"[""e_rtu_bi_de0751_rule_trace""]","[""e_rtu_bi_de0751_rule_trace""]",1.0,1.0,1.0,1,"[""UPDATE_RULE""]","[""UPDATE_RULE""]",1.0,1.0,1.0,1,1
BI-T05,rtu_bi_de0752,[],"[""e_rtu_bi_de0752_rule_trace""]",0.0,0.0,0.0,0,"[""NO_MODEL_CHANGE""]","[""UPDATE_RULE""]",0.0,0.0,0.0,0,0
BI-T05,rtu_fcsite_bi_msc,"[""e_rtu_fcsite_bi_msc_rule_trace""]","[""e_rtu_fcsite_bi_msc_rule_trace""]",1.0,1.0,1.0,1,"[""UPDATE_RULE""]","[""UPDATE_RULE""]",1.0,1.0,1.0,1,1
BI-T07,rtu_bi_de0740,"[""e_rtu_bi_de0740_concept_prereq""]","[""e_rtu_bi_de0740_concept_prereq""]",1.0,1.0,1.0,1,"[""UPDATE_CONCEPT""]","[""UPDATE_CONCEPT""]",1.0,1.0,1.0,1,1
BI-T07,rtu_bi_de0745,[],[],1.0,1.0,1.0,1,"[""NO_MODEL_CHANGE""]","[""NO_MODEL_CHANGE""]",1.0,1.0,1.0,1,1
BI-T07,rtu_bi_de0747,"[""e_rtu_bi_de0747_concept_prereq""]","[""e_rtu_bi_de0747_concept_prereq""]",1.0,1.0,1.0,1,"[""UPDATE_CONCEPT""]","[""UPDATE_CONCEPT""]",1.0,1.0,1.0,1,1
BI-T07,rtu_bi_de0751,"[""e_rtu_bi_de0751_concept_prereq""]",[],0.0,0.0,0.0,0,"[""UPDATE_CONCEPT""]","[""NO_MODEL_CHANGE""]",0.0,0.0,0.0,0,0
BI-T07,rtu_fcsite_bi_msc,"[""e_rtu_fcsite_bi_msc_concept_portfolio""]","[""e_rtu_fcsite_bi_msc_concept_outcome""]",0.0,0.0,0.0,0,"[""UPDATE_CONCEPT""]","[""UPDATE_CONCEPT""]",1.0,1.0,1.0,1,0
BI-T09,rtu_bi_de0740,"[""e_rtu_bi_de0740_proc_map""]","[""e_rtu_bi_de0740_proc_map""]",1.0,1.0,1.0,1,"[""UPDATE_PROCESS""]","[""UPDATE_PROCESS""]",1.0,1.0,1.0,1,1
BI-T09,rtu_bi_de0745,"[""e_rtu_bi_de0745_proc_map""]","[""e_rtu_bi_de0745_proc_map""]",1.0,1.0,1.0,1,"[""UPDATE_PROCESS""]","[""UPDATE_PROCESS""]",1.0,1.0,1.0,1,1
BI-T09,rtu_bi_de0747,"[""e_rtu_bi_de0747_proc_map""]","[""e_rtu_bi_de0747_proc_map""]",1.0,1.0,1.0,1,"[""UPDATE_PROCESS""]","[""UPDATE_PROCESS""]",1.0,1.0,1.0,1,1
BI-T09,rtu_bi_de0752,"[""e_rtu_bi_de0752_proc_map""]","[""e_rtu_bi_de0752_proc_map""]",1.0,1.0,1.0,1,"[""UPDATE_PROCESS""]","[""UPDATE_PROCESS""]",1.0,1.0,1.0,1,1
BI-T09,rtu_fcsite_bi_msc,"[""e_rtu_fcsite_bi_msc_proc_map""]","[""e_rtu_fcsite_bi_msc_proc_map""]",1.0,1.0,1.0,1,"[""UPDATE_PROCESS""]","[""UPDATE_PROCESS""]",1.0,1.0,1.0,1,1
BI-T11,rtu_fcsite,"[""e_rtu_fcsite_role_owner""]","[""e_rtu_fcsite_role_owner""]",1.0,1.0,1.0,1,"[""UPDATE_ACTOR_RESOURCE""]","[""UPDATE_ACTOR_RESOURCE""]",1.0,1.0,1.0,1,1
BI-T11,rtu_fcsite_cs_msc,"[""e_rtu_fcsite_cs_msc_role_owner""]","[""e_rtu_fcsite_cs_msc_role_owner""]",1.0,1.0,1.0,1,"[""UPDATE_ACTOR_RESOURCE""]","[""UPDATE_ACTOR_RESOURCE""]",1.0,1.0,1.0,1,1
BI-T12,rtu_bi_de0740,"[""e_rtu_bi_de0740_fr_impact""]","[""e_rtu_bi_de0740_fr_impact""]",1.0,1.0,1.0,1,"[""UPDATE_TECHNICAL_COMPONENT""]","[""UPDATE_TECHNICAL_COMPONENT""]",1.0,1.0,1.0,1,1
BI-T12,rtu_bi_de0745,"[""e_rtu_bi_de0745_fr_impact""]","[""e_rtu_bi_de0745_fr_impact""]",1.0,1.0,1.0,1,"[""UPDATE_TECHNICAL_COMPONENT""]","[""UPDATE_TECHNICAL_COMPONENT""]",1.0,1.0,1.0,1,1
BI-T12,rtu_bi_de0751,"[""e_rtu_bi_de0751_fr_impact""]","[""e_rtu_bi_de0751_fr_impact""]",1.0,1.0,1.0,1,"[""UPDATE_TECHNICAL_COMPONENT""]","[""UPDATE_TECHNICAL_COMPONENT""]",1.0,1.0,1.0,1,1
BI-T12,rtu_bi_de0752,"[""e_rtu_bi_de0752_fr_impact""]","[""e_rtu_bi_de0752_fr_impact""]",1.0,1.0,1.0,1,"[""UPDATE_TECHNICAL_COMPONENT""]","[""UPDATE_TECHNICAL_COMPONENT""]",1.0,1.0,1.0,1,1
BI-T12,rtu_fcsite_bi_msc,"[""e_rtu_fcsite_bi_msc_fr_impact""]","[""e_rtu_fcsite_bi_msc_fr_impact""]",1.0,1.0,1.0,1,"[""UPDATE_TECHNICAL_COMPONENT""]","[""UPDATE_TECHNICAL_COMPONENT""]",1.0,1.0,1.0,1,1
CS-T01,rtu_cs_de0478,"[""e_rtu_cs_de0478_g_workload""]","[""e_rtu_cs_de0478_g_workload""]",1.0,1.0,1.0,1,"[""UPDATE_GOAL""]","[""UPDATE_GOAL""]",1.0,1.0,1.0,1,1
CS-T01,rtu_cs_de0759,[],"[""e_rtu_cs_de0759_g_workload""]",0.0,0.0,0.0,0,"[""NO_MODEL_CHANGE""]","[""UPDATE_GOAL""]",0.0,0.0,0.0,0,0
CS-T01,rtu_cs_de0767,[],"[""e_rtu_cs_de0767_g_workload""]",0.0,0.0,0.0,0,"[""NO_MODEL_CHANGE""]","[""UPDATE_GOAL""]",0.0,0.0,0.0,0,0
CS-T01,rtu_cs_de0773,"[""e_rtu_cs_de0773_g_workload""]","[""e_rtu_cs_de0773_g_workload""]",1.0,1.0,1.0,1,"[""UPDATE_GOAL""]","[""UPDATE_GOAL""]",1.0,1.0,1.0,1,1
CS-T01,rtu_fcsite_cs_msc,"[""e_rtu_fcsite_cs_msc_g_sequence""]","[""e_rtu_fcsite_cs_msc_g_workload""]",0.0,0.0,0.0,0,"[""UPDATE_GOAL""]","[""UPDATE_GOAL""]",1.0,1.0,1.0,1,0
CS-T04,rtu_cs_de0478,"[""e_rtu_cs_de0478_rule_workload""]","[""e_rtu_cs_de0478_rule_workload""]",1.0,1.0,1.0,1,"[""UPDATE_RULE""]","[""UPDATE_RULE""]",1.0,1.0,1.0,1,1
CS-T04,rtu_cs_de0767,"[""e_rtu_cs_de0767_rule_workload""]","[""e_rtu_cs_de0767_rule_workload""]",1.0,1.0,1.0,1,"[""UPDATE_RULE""]","[""UPDATE_RULE""]",1.0,1.0,1.0,1,1
CS-T04,rtu_cs_de0773,"[""e_rtu_cs_de0773_rule_workload""]","[""e_rtu_cs_de0773_rule_workload""]",1.0,1.0,1.0,1,"[""UPDATE_RULE""]","[""UPDATE_RULE""]",1.0,1.0,1.0,1,1
CS-T04,rtu_cs_de0937,"[""e_rtu_cs_de0937_rule_workload""]","[""e_rtu_cs_de0937_rule_workload""]",1.0,1.0,1.0,1,"[""UPDATE_RULE""]","[""UPDATE_RULE""]",1.0,1.0,1.0,1,1
CS-T04,rtu_fcsite_cs_msc,"[""e_rtu_fcsite_cs_msc_rule_workload""]","[""e_rtu_fcsite_cs_msc_rule_workload""]",1.0,1.0,1.0,1,"[""UPDATE_RULE""]","[""UPDATE_RULE""]",1.0,1.0,1.0,1,1
CS-T05,rtu_cs_de0759,[],[],1.0,1.0,1.0,1,"[""NO_MODEL_CHANGE""]","[""NO_MODEL_CHANGE""]",1.0,1.0,1.0,1,1
CS-T05,rtu_cs_de0767,"[""e_rtu_cs_de0767_concept_scope""]",[],0.0,0.0,0.0,0,"[""UPDATE_CONCEPT""]","[""NO_MODEL_CHANGE""]",0.0,0.0,0.0,0,0
CS-T05,rtu_cs_de0773,"[""e_rtu_cs_de0773_concept_scope""]","[""e_rtu_cs_de0773_concept_scope""]",1.0,1.0,1.0,1,"[""UPDATE_CONCEPT""]","[""UPDATE_CONCEPT""]",1.0,1.0,1.0,1,1
CS-T05,rtu_cs_de0937,"[""e_rtu_cs_de0937_concept_scope""]","[""e_rtu_cs_de0937_concept_scope""]",1.0,1.0,1.0,1,"[""UPDATE_CONCEPT""]","[""UPDATE_CONCEPT""]",1.0,1.0,1.0,1,1
CS-T05,rtu_fcsite_cs_msc,"[""e_rtu_fcsite_cs_msc_concept_portfolio""]","[""e_rtu_fcsite_cs_msc_concept_contribution""]",0.0,0.0,0.0,0,"[""UPDATE_CONCEPT""]","[""UPDATE_CONCEPT""]",1.0,1.0,1.0,1,0
CS-T07,rtu_fcsite,"[""e_rtu_fcsite_proc_analyse""]","[""e_rtu_fcsite_proc_analyse""]",1.0,1.0,1.0,1,"[""UPDATE_PROCESS""]","[""UPDATE_PROCESS""]",1.0,1.0,1.0,1,1
CS-T07,rtu_fcsite_bi_msc,"[""e_rtu_fcsite_bi_msc_proc_portfolio""]","[""e_rtu_fcsite_bi_msc_proc_portfolio""]",1.0,1.0,1.0,1,"[""UPDATE_PROCESS""]","[""UPDATE_PROCESS""]",1.0,1.0,1.0,1,1
CS-T10,rtu_cs_de0478,"[""e_rtu_cs_de0478_role_review""]","[""e_rtu_cs_de0478_role_review""]",1.0,1.0,1.0,1,"[""UPDATE_ACTOR_RESOURCE""]","[""UPDATE_ACTOR_RESOURCE""]",1.0,1.0,1.0,1,1
CS-T10,rtu_cs_de0759,[],"[""e_rtu_cs_de0759_role_review""]",0.0,0.0,0.0,0,"[""NO_MODEL_CHANGE""]","[""UPDATE_ACTOR_RESOURCE""]",0.0,0.0,0.0,0,0
CS-T10,rtu_cs_de0767,"[""e_rtu_cs_de0767_role_review""]",[],0.0,0.0,0.0,0,"[""UPDATE_ACTOR_RESOURCE""]","[""NO_MODEL_CHANGE""]",0.0,0.0,0.0,0,0
CS-T10,rtu_cs_de0773,"[""e_rtu_cs_de0773_role_review""]","[""e_rtu_cs_de0773_role_review""]",1.0,1.0,1.0,1,"[""UPDATE_ACTOR_RESOURCE""]","[""UPDATE_ACTOR_RESOURCE""]",1.0,1.0,1.0,1,1
CS-T10,rtu_fcsite_cs_msc,"[""e_rtu_fcsite_cs_msc_role_review""]","[""e_rtu_fcsite_cs_msc_role_review""]",1.0,1.0,1.0,1,"[""UPDATE_ACTOR_RESOURCE""]","[""UPDATE_ACTOR_RESOURCE""]",1.0,1.0,1.0,1,1
CS-T12,rtu_cs_de0478,"[""e_rtu_cs_de0478_nfr_audit""]","[""e_rtu_cs_de0478_nfr_audit""]",1.0,1.0,1.0,1,"[""UPDATE_TECHNICAL_COMPONENT""]","[""UPDATE_TECHNICAL_COMPONENT""]",1.0,1.0,1.0,1,1
CS-T12,rtu_cs_de0767,"[""e_rtu_cs_de0767_nfr_audit""]","[""e_rtu_cs_de0767_nfr_audit""]",1.0,1.0,1.0,1,"[""UPDATE_TECHNICAL_COMPONENT""]","[""UPDATE_TECHNICAL_COMPONENT""]",1.0,1.0,1.0,1,1
